# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1634136461.3917012,0,-0.4810126721858978,1.8394640684127808,0,0,0,0
1,1634136461.751737,3200,-0.4810126721858978,1.8394640684127808,0,0,0.47826087474823,1.822977900505066
2,1634136461.7577212,6400,-0.4810126721858978,1.8394640684127808,0.4691357910633087,1.8128489255905151,0.47826087474823,1.822977900505066
3,1634136466.8082488,9600,-0.5244569778442383,1.8963695764541626,0.4691357910633087,1.8128489255905151,0.47826087474823,1.822977900505066
4,1634136467.21567,12800,-0.5244569778442383,1.8963695764541626,0.4691357910633087,1.8128489255905151,0.5244065523147583,1.892960548400879
5,1634136467.472982,16000,-0.5244569778442383,1.8963695764541626,0.5224466919898987,1.88667893409729,0.5244065523147583,1.892960548400879
6,1634136473.5866876,19200,-0.5603906512260437,1.821077585220337,0.5224466919898987,1.88667893409729,0.5244065523147583,1.892960548400879
7,1634136473.915807,22400,-0.5603906512260437,1.821077585220337,0.5224466919898987,1.88667893409729,0.5592479705810547,1.8241571187973022
8,1634136474.2803423,25600,-0.5603906512260437,1.821077585220337,0.5532667636871338,1.7897284030914307,0.5592479705810547,1.8241571187973022
9,1634136480.0070934,28800,-0.6454392075538635,1.6524178981781006,0.5532667636871338,1.7897284030914307,0.5592479705810547,1.8241571187973022
10,1634136480.5052705,32000,-0.6454392075538635,1.6524178981781006,0.5532667636871338,1.7897284030914307,0.6414948105812073,1.8106379508972168
11,1634136480.8698034,35200,-0.6454392075538635,1.6524178981781006,0.6450636982917786,1.674167275428772,0.6414948105812073,1.8106379508972168
# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1634399070.4775448,0,-1.0718954801559448,3.669207811355591,0,0,0,0
1,1634399070.493501,3200,-1.0718954801559448,3.669207811355591,0,0,1.0714285373687744,3.7782392501831055
2,1634399071.6379628,6400,-1.0718954801559448,3.669207811355591,1.0754716396331787,3.619319438934326,1.0714285373687744,3.7782392501831055
